% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:40:23 +1100
Time (s), Voltage (V)
-8.271360000000e-04, 8.880374e-01
-8.248320000000e-04, 8.945256e-01
-8.225280000000e-04, 9.010137e-01
-8.202240000000e-04, 9.071966e-01
-8.179200000000e-04, 9.131504e-01
-8.156160000000e-04, 9.189516e-01
-8.133120000000e-04, 9.246001e-01
-8.110080000000e-04, 9.300196e-01
-8.087040000000e-04, 9.352101e-01
-8.064000000000e-04, 9.402480e-01
-8.040960000000e-04, 9.450568e-01
-8.017920000000e-04, 9.496367e-01
-7.994880000000e-04, 9.541403e-01
-7.971840000000e-04, 9.583385e-01
-7.948800000000e-04, 9.623840e-01
-7.925760000000e-04, 9.662006e-01
-7.902720000000e-04, 9.697882e-01
-7.879680000000e-04, 9.732231e-01
-7.856640000000e-04, 9.765053e-01
-7.833600000000e-04, 9.794822e-01
-7.810560000000e-04, 9.823065e-01
-7.787520000000e-04, 9.849017e-01
-7.764480000000e-04, 9.872680e-01
-7.741440000000e-04, 9.894816e-01
-7.718400000000e-04, 9.914662e-01
-7.695360000000e-04, 9.932218e-01
-7.672320000000e-04, 9.948248e-01
-7.649280000000e-04, 9.961988e-01
-7.626240000000e-04, 9.973437e-01
-7.603200000000e-04, 9.983360e-01
-7.580160000000e-04, 9.990230e-01
-7.557120000000e-04, 9.995573e-01
-7.534080000000e-04, 9.998627e-01
-7.511040000000e-04, 9.999390e-01
-7.488000000000e-04, 9.998627e-01
-7.464960000000e-04, 9.995573e-01
-7.441920000000e-04, 9.990230e-01
-7.418880000000e-04, 9.983360e-01
-7.395840000000e-04, 9.973437e-01
-7.372800000000e-04, 9.961988e-01
-7.349760000000e-04, 9.948248e-01
-7.326720000000e-04, 9.932218e-01
-7.303680000000e-04, 9.914662e-01
-7.280640000000e-04, 9.894816e-01
-7.257600000000e-04, 9.872680e-01
-7.234560000000e-04, 9.849017e-01
-7.211520000000e-04, 9.823065e-01
-7.188480000000e-04, 9.794822e-01
-7.165440000000e-04, 9.765053e-01
-7.142400000000e-04, 9.732231e-01
-7.119360000000e-04, 9.697882e-01
-7.096320000000e-04, 9.662006e-01
-7.073280000000e-04, 9.623840e-01
-7.050240000000e-04, 9.583385e-01
-7.027200000000e-04, 9.541403e-01
-7.004160000000e-04, 9.496367e-01
-6.981120000000e-04, 9.449805e-01
-6.958080000000e-04, 9.401716e-01
-6.935040000000e-04, 9.351338e-01
-6.912000000000e-04, 9.300196e-01
-6.888960000000e-04, 9.246001e-01
-6.865920000000e-04, 9.188752e-01
-6.842880000000e-04, 9.131504e-01
-6.819840000000e-04, 9.071202e-01
-6.796800000000e-04, 9.009374e-01
-6.773760000000e-04, 8.945256e-01
-6.750720000000e-04, 8.880374e-01
-6.727680000000e-04, 8.812439e-01
-6.704640000000e-04, 8.742978e-01
-6.681600000000e-04, 8.671990e-01
-6.658560000000e-04, 8.599475e-01
-6.635520000000e-04, 8.523907e-01
-6.612480000000e-04, 8.447576e-01
-6.589440000000e-04, 8.368955e-01
-6.566400000000e-04, 8.288807e-01
-6.543360000000e-04, 8.207133e-01
-6.520320000000e-04, 8.123932e-01
-6.497280000000e-04, 8.038441e-01
-6.474240000000e-04, 7.951423e-01
-6.451200000000e-04, 7.862879e-01
-6.428160000000e-04, 7.772808e-01
-6.405120000000e-04, 7.680447e-01
-6.382080000000e-04, 7.587323e-01
-6.359040000000e-04, 7.491909e-01
-6.336000000000e-04, 7.395732e-01
