% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:44:29 +1100
% Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-9.907200000000e-04, 9.999390e-01, 1.797120e-04, -1.996144e+01
-9.884160000000e-04, 9.999390e-01, 1.820160e-04, -1.470480e+01
-9.861120000000e-04, 9.999390e-01, 1.843200e-04, -1.267020e+01
-9.838080000000e-04, 9.999390e-01, 1.866240e-04, -1.343945e+01
-9.815040000000e-04, 9.999390e-01, 1.889280e-04, -1.717687e+01
-9.792000000000e-04, 9.999390e-01, 1.912320e-04, -2.500231e+01
-9.768960000000e-04, 9.999390e-01, 1.935360e-04, -4.907650e+01
-9.745920000000e-04, 9.999390e-01, 1.958400e-04, -3.863710e+01
-9.722880000000e-04, 9.999390e-01, 1.981440e-04, -4.337871e+01
-9.699840000000e-04, 9.999390e-01, 2.004480e-04, -2.466458e+01
-9.676800000000e-04, 9.999390e-01, 2.027520e-04, -1.752764e+01
-9.653760000000e-04, 9.999390e-01, 2.050560e-04, -1.418467e+01
-9.630720000000e-04, 9.999390e-01, 2.073600e-04, -1.373750e+01
-9.607680000000e-04, 9.999390e-01, 2.096640e-04, -1.611725e+01
-9.584640000000e-04, 9.999390e-01, 2.119680e-04, -2.187899e+01
-9.561600000000e-04, 9.999390e-01, 2.142720e-04, -3.418273e+01
-9.538560000000e-04, 9.999390e-01, 2.165760e-04, -4.146982e+01
-9.515520000000e-04, 9.999390e-01, 2.188800e-04, -4.632579e+01
-9.492480000000e-04, 9.999390e-01, 2.211840e-04, -3.080719e+01
-9.469440000000e-04, 9.999390e-01, 2.234880e-04, -2.095088e+01
-9.446400000000e-04, 9.999390e-01, 2.257920e-04, -1.615034e+01
-9.423360000000e-04, 9.999390e-01, 2.280960e-04, -1.447390e+01
-9.400320000000e-04, 9.999390e-01, 2.304000e-04, -1.559252e+01
-9.377280000000e-04, 9.999390e-01, 2.327040e-04, -1.974079e+01
-9.354240000000e-04, 9.999390e-01, 2.350080e-04, -2.829627e+01
-9.331200000000e-04, 9.999390e-01, 2.373120e-04, -6.867090e+01
-9.308160000000e-04, 9.999390e-01, 2.396160e-04, -4.080122e+01
-9.285120000000e-04, 9.999390e-01, 2.419200e-04, -4.052261e+01
-9.262080000000e-04, 9.999390e-01, 2.442240e-04, -2.517582e+01
-9.239040000000e-04, 9.999390e-01, 2.465280e-04, -1.862320e+01
-9.216000000000e-04, 9.999390e-01, 2.488320e-04, -1.566186e+01
-9.192960000000e-04, 9.999390e-01, 2.511360e-04, -1.556078e+01
-9.169920000000e-04, 9.999390e-01, 2.534400e-04, -1.831416e+01
-9.146880000000e-04, 9.999390e-01, 2.557440e-04, -2.459831e+01
-9.123840000000e-04, 9.999390e-01, 2.580480e-04, -3.864261e+01
-9.100800000000e-04, 9.999390e-01, 2.603520e-04, -4.195813e+01
-9.077760000000e-04, 9.999390e-01, 2.626560e-04, -5.442309e+01
-9.054720000000e-04, 9.999390e-01, 2.649600e-04, -3.064352e+01
-9.031680000000e-04, 9.999390e-01, 2.672640e-04, -2.169359e+01
-9.008640000000e-04, 9.999390e-01, 2.695680e-04, -1.732637e+01
-8.985600000000e-04, 9.999390e-01, 2.718720e-04, -1.600400e+01
-8.962560000000e-04, 9.999390e-01, 2.741760e-04, -1.747603e+01
-8.939520000000e-04, 9.999390e-01, 2.764800e-04, -2.205210e+01
-8.916480000000e-04, 9.999390e-01, 2.787840e-04, -3.144039e+01
-8.893440000000e-04, 9.999390e-01, 2.810880e-04, -5.192859e+01
-8.870400000000e-04, 9.999390e-01, 2.833920e-04, -4.310536e+01
-8.847360000000e-04, 9.999390e-01, 2.856960e-04, -3.871720e+01
-8.824320000000e-04, 9.999390e-01, 2.880000e-04, -2.552239e+01
-8.801280000000e-04, 9.999390e-01, 2.903040e-04, -1.950878e+01
-8.778240000000e-04, 9.999390e-01, 2.926080e-04, -1.692176e+01
-8.755200000000e-04, 9.999390e-01, 2.949120e-04, -1.716646e+01
-8.732160000000e-04, 9.999390e-01, 2.972160e-04, -2.030073e+01
-8.709120000000e-04, 9.999390e-01, 2.995200e-04, -2.714920e+01
-8.686080000000e-04, 9.999390e-01, 3.018240e-04, -4.367425e+01
-8.663040000000e-04, 9.999390e-01, 3.041280e-04, -4.271585e+01
-8.640000000000e-04, 9.999390e-01, 3.064320e-04, -6.517027e+01
-8.616960000000e-04, 9.999390e-01, 3.087360e-04, -3.044762e+01
-8.593920000000e-04, 9.999390e-01, 3.110400e-04, -2.228012e+01
-8.570880000000e-04, 9.999390e-01, 3.133440e-04, -1.832895e+01
-8.547840000000e-04, 9.999390e-01, 3.156480e-04, -1.735658e+01
-8.524800000000e-04, 9.999390e-01, 3.179520e-04, -1.918565e+01
-8.501760000000e-04, 9.999390e-01, 3.202560e-04, -2.421069e+01
-8.478720000000e-04, 9.999390e-01, 3.225600e-04, -3.457973e+01
-8.455680000000e-04, 9.999390e-01, 3.248640e-04, -4.845822e+01
-8.432640000000e-04, 9.999390e-01, 3.271680e-04, -4.579767e+01
-8.409600000000e-04, 9.999390e-01, 3.294720e-04, -3.740220e+01
-8.386560000000e-04, 9.999390e-01, 3.317760e-04, -2.576994e+01
-8.363520000000e-04, 9.999390e-01, 3.340800e-04, -2.025734e+01
-8.340480000000e-04, 9.999390e-01, 3.363840e-04, -1.803716e+01
-8.317440000000e-04, 9.999390e-01, 3.386880e-04, -1.862866e+01
-8.294400000000e-04, 9.999390e-01, 3.409920e-04, -2.215441e+01
-8.271360000000e-04, 9.999390e-01, 3.432960e-04, -2.962009e+01
-8.248320000000e-04, 9.999390e-01, 3.456000e-04, -5.022717e+01
-8.225280000000e-04, 9.999390e-01, 3.479040e-04, -4.371137e+01
-8.202240000000e-04, 9.999390e-01, 3.502080e-04, -5.156101e+01
-8.179200000000e-04, 9.999390e-01, 3.525120e-04, -3.024281e+01
-8.156160000000e-04, 9.999390e-01, 3.548160e-04, -2.276444e+01
-8.133120000000e-04, 9.999390e-01, 3.571200e-04, -1.921523e+01
-8.110080000000e-04, 9.999390e-01, 3.594240e-04, -1.859062e+01
-8.087040000000e-04, 9.999390e-01, 3.617280e-04, -2.078148e+01
-8.064000000000e-04, 9.999390e-01, 3.640320e-04, -2.627984e+01
-8.040960000000e-04, 9.999390e-01, 3.663360e-04, -3.784101e+01
-8.017920000000e-04, 9.999390e-01, 3.686400e-04, -4.708142e+01
-7.994880000000e-04, 9.999390e-01, 3.709440e-04, -4.926909e+01
-7.971840000000e-04, 9.999390e-01, 3.732480e-04, -3.636787e+01
-7.948800000000e-04, 9.999390e-01, 3.755520e-04, -2.595588e+01
-7.925760000000e-04, 9.999390e-01, 3.778560e-04, -2.091472e+01
-7.902720000000e-04, 9.999390e-01, 3.801600e-04, -1.905506e+01
-7.879680000000e-04, 9.999390e-01, 3.824640e-04, -1.999469e+01
-7.856640000000e-04, 9.999390e-01, 3.847680e-04, -2.392455e+01
-7.833600000000e-04, 9.999390e-01, 3.870720e-04, -3.207722e+01
-7.810560000000e-04, 9.999390e-01, 3.893760e-04, -6.299845e+01
-7.787520000000e-04, 9.999390e-01, 3.916800e-04, -4.495914e+01
-7.764480000000e-04, 9.999390e-01, 3.939840e-04, -4.687620e+01
-7.741440000000e-04, 9.999390e-01, 3.962880e-04, -3.004213e+01
-7.718400000000e-04, 9.999390e-01, 3.985920e-04, -2.318241e+01
-7.695360000000e-04, 9.999390e-01, 4.008960e-04, -2.002268e+01
-7.672320000000e-04, 9.999390e-01, 4.032000e-04, -1.974433e+01
-7.649280000000e-04, 9.999390e-01, 4.055040e-04, -2.230354e+01
-7.626240000000e-04, 9.999390e-01, 4.078080e-04, -2.830565e+01
-7.603200000000e-04, 9.999390e-01, 4.101120e-04, -4.137905e+01
-7.580160000000e-04, 9.999390e-01, 4.124160e-04, -4.660787e+01
-7.557120000000e-04, 9.999390e-01, 4.147200e-04, -5.455634e+01
-7.534080000000e-04, 9.999390e-01, 4.170240e-04, -3.551957e+01
-7.511040000000e-04, 9.999390e-01, 4.193280e-04, -2.610511e+01
-7.488000000000e-04, 9.999390e-01, 4.216320e-04, -2.151091e+01
-7.464960000000e-04, 9.999390e-01, 4.239360e-04, -2.000701e+01
-7.441920000000e-04, 9.999390e-01, 4.262400e-04, -2.129730e+01
