% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:41:12 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-9.907200000000e-04, 6.526319e-02, 1.797120e-04, -8.795852e+01
-9.884160000000e-04, 7.968979e-02, 1.820160e-04, -1.014277e+02
-9.861120000000e-04, 9.411639e-02, 1.843200e-04, -9.216495e+01
-9.838080000000e-04, 1.084667e-01, 1.866240e-04, -1.294815e+02
-9.815040000000e-04, 1.228933e-01, 1.889280e-04, -9.246808e+01
-9.792000000000e-04, 1.372435e-01, 1.912320e-04, -1.044114e+02
-9.768960000000e-04, 1.515938e-01, 1.935360e-04, -8.917562e+01
-9.745920000000e-04, 1.658677e-01, 1.958400e-04, -9.901603e+01
-9.722880000000e-04, 1.800653e-01, 1.981440e-04, -9.620454e+01
-9.699840000000e-04, 1.943393e-01, 2.004480e-04, -1.017372e+02
-9.676800000000e-04, 2.084606e-01, 2.027520e-04, -9.171306e+01
-9.653760000000e-04, 2.226582e-01, 2.050560e-04, -1.036312e+02
-9.630720000000e-04, 2.367031e-01, 2.073600e-04, -9.452355e+01
-9.607680000000e-04, 2.508244e-01, 2.096640e-04, -1.100579e+02
-9.584640000000e-04, 2.647167e-01, 2.119680e-04, -9.444336e+01
-9.561600000000e-04, 2.786853e-01, 2.142720e-04, -1.119388e+02
-9.538560000000e-04, 2.925776e-01, 2.165760e-04, -9.314537e+01
-9.515520000000e-04, 3.063172e-01, 2.188800e-04, -9.983321e+01
-9.492480000000e-04, 3.201331e-01, 2.211840e-04, -9.400182e+01
-9.469440000000e-04, 3.338728e-01, 2.234880e-04, -9.710870e+01
-9.446400000000e-04, 3.473834e-01, 2.257920e-04, -9.307144e+01
-9.423360000000e-04, 3.609703e-01, 2.280960e-04, -9.731720e+01
-9.400320000000e-04, 3.744046e-01, 2.304000e-04, -9.890775e+01
-9.377280000000e-04, 3.877626e-01, 2.327040e-04, -1.002053e+02
-9.354240000000e-04, 4.010442e-01, 2.350080e-04, -9.342439e+01
-9.331200000000e-04, 4.142495e-01, 2.373120e-04, -1.027063e+02
-9.308160000000e-04, 4.274548e-01, 2.396160e-04, -1.026314e+02
-9.285120000000e-04, 4.404311e-01, 2.419200e-04, -1.046415e+02
-9.262080000000e-04, 4.534074e-01, 2.442240e-04, -9.569676e+01
-9.239040000000e-04, 4.663074e-01, 2.465280e-04, -1.148035e+02
-9.216000000000e-04, 4.790547e-01, 2.488320e-04, -9.519671e+01
-9.192960000000e-04, 4.917257e-01, 2.511360e-04, -1.000017e+02
-9.169920000000e-04, 5.042440e-01, 2.534400e-04, -1.039648e+02
-9.146880000000e-04, 5.166860e-01, 2.557440e-04, -1.021770e+02
-9.123840000000e-04, 5.290517e-01, 2.580480e-04, -9.645104e+01
-9.100800000000e-04, 5.412647e-01, 2.603520e-04, -1.016699e+02
-9.077760000000e-04, 5.534013e-01, 2.626560e-04, -9.927114e+01
-9.054720000000e-04, 5.653853e-01, 2.649600e-04, -1.057102e+02
-9.031680000000e-04, 5.772930e-01, 2.672640e-04, -1.015805e+02
-9.008640000000e-04, 5.889717e-01, 2.695680e-04, -1.079103e+02
-8.985600000000e-04, 6.006504e-01, 2.718720e-04, -9.577913e+01
-8.962560000000e-04, 6.121764e-01, 2.741760e-04, -9.996228e+01
-8.939520000000e-04, 6.234734e-01, 2.764800e-04, -1.207592e+02
-8.916480000000e-04, 6.348468e-01, 2.787840e-04, -1.024704e+02
-8.893440000000e-04, 6.459148e-01, 2.810880e-04, -9.618952e+01
-8.870400000000e-04, 6.569065e-01, 2.833920e-04, -1.025957e+02
-8.847360000000e-04, 6.677455e-01, 2.856960e-04, -1.085252e+02
-8.824320000000e-04, 6.784319e-01, 2.880000e-04, -1.101401e+02
-8.801280000000e-04, 6.890419e-01, 2.903040e-04, -1.035244e+02
-8.778240000000e-04, 6.994230e-01, 2.926080e-04, -1.043402e+02
-8.755200000000e-04, 7.096514e-01, 2.949120e-04, -9.613197e+01
-8.732160000000e-04, 7.198034e-01, 2.972160e-04, -9.947733e+01
-8.709120000000e-04, 7.298028e-01, 2.995200e-04, -1.065288e+02
-8.686080000000e-04, 7.396495e-01, 3.018240e-04, -1.019871e+02
-8.663040000000e-04, 7.492673e-01, 3.041280e-04, -9.936787e+01
-8.640000000000e-04, 7.588087e-01, 3.064320e-04, -1.027719e+02
-8.616960000000e-04, 7.681211e-01, 3.087360e-04, -9.916041e+01
-8.593920000000e-04, 7.772808e-01, 3.110400e-04, -1.048730e+02
-8.570880000000e-04, 7.863642e-01, 3.133440e-04, -1.307809e+02
-8.547840000000e-04, 7.952187e-01, 3.156480e-04, -1.023397e+02
-8.524800000000e-04, 8.039204e-01, 3.179520e-04, -9.538671e+01
-8.501760000000e-04, 8.123932e-01, 3.202560e-04, -9.721811e+01
-8.478720000000e-04, 8.207896e-01, 3.225600e-04, -1.027350e+02
-8.455680000000e-04, 8.289570e-01, 3.248640e-04, -1.094751e+02
-8.432640000000e-04, 8.369718e-01, 3.271680e-04, -1.097935e+02
-8.409600000000e-04, 8.448339e-01, 3.294720e-04, -1.069366e+02
-8.386560000000e-04, 8.524671e-01, 3.317760e-04, -9.935246e+01
-8.363520000000e-04, 8.599475e-01, 3.340800e-04, -1.003064e+02
-8.340480000000e-04, 8.671990e-01, 3.363840e-04, -1.025697e+02
-8.317440000000e-04, 8.742978e-01, 3.386880e-04, -1.044166e+02
-8.294400000000e-04, 8.812439e-01, 3.409920e-04, -1.061616e+02
-8.271360000000e-04, 8.880374e-01, 3.432960e-04, -1.075711e+02
-8.248320000000e-04, 8.945256e-01, 3.456000e-04, -9.832720e+01
-8.225280000000e-04, 9.010137e-01, 3.479040e-04, -1.014150e+02
-8.202240000000e-04, 9.071966e-01, 3.502080e-04, -1.140484e+02
-8.179200000000e-04, 9.131504e-01, 3.525120e-04, -1.126556e+02
-8.156160000000e-04, 9.189516e-01, 3.548160e-04, -1.029099e+02
-8.133120000000e-04, 9.246001e-01, 3.571200e-04, -1.019184e+02
-8.110080000000e-04, 9.300196e-01, 3.594240e-04, -1.006276e+02
-8.087040000000e-04, 9.352101e-01, 3.617280e-04, -9.908717e+01
-8.064000000000e-04, 9.402480e-01, 3.640320e-04, -9.870379e+01
-8.040960000000e-04, 9.450568e-01, 3.663360e-04, -1.048325e+02
-8.017920000000e-04, 9.496367e-01, 3.686400e-04, -1.106746e+02
-7.994880000000e-04, 9.541403e-01, 3.709440e-04, -1.163738e+02
-7.971840000000e-04, 9.583385e-01, 3.732480e-04, -1.134404e+02
-7.948800000000e-04, 9.623840e-01, 3.755520e-04, -1.085178e+02
-7.925760000000e-04, 9.662006e-01, 3.778560e-04, -1.026946e+02
-7.902720000000e-04, 9.697882e-01, 3.801600e-04, -1.055254e+02
-7.879680000000e-04, 9.732231e-01, 3.824640e-04, -1.075064e+02
-7.856640000000e-04, 9.765053e-01, 3.847680e-04, -1.004383e+02
-7.833600000000e-04, 9.794822e-01, 3.870720e-04, -9.744643e+01
-7.810560000000e-04, 9.823065e-01, 3.893760e-04, -1.006047e+02
-7.787520000000e-04, 9.849017e-01, 3.916800e-04, -1.117698e+02
-7.764480000000e-04, 9.872680e-01, 3.939840e-04, -1.007910e+02
-7.741440000000e-04, 9.894816e-01, 3.962880e-04, -9.705664e+01
-7.718400000000e-04, 9.914662e-01, 3.985920e-04, -9.873772e+01
-7.695360000000e-04, 9.932218e-01, 4.008960e-04, -1.066476e+02
-7.672320000000e-04, 9.948248e-01, 4.032000e-04, -1.051973e+02
-7.649280000000e-04, 9.961988e-01, 4.055040e-04, -9.804812e+01
-7.626240000000e-04, 9.973437e-01, 4.078080e-04, -9.801939e+01
-7.603200000000e-04, 9.983360e-01, 4.101120e-04, -1.004550e+02
-7.580160000000e-04, 9.990230e-01, 4.124160e-04, -1.032556e+02
-7.557120000000e-04, 9.995573e-01, 4.147200e-04, -1.042000e+02
-7.534080000000e-04, 9.998627e-01, 4.170240e-04, -1.081087e+02
-7.511040000000e-04, 9.999390e-01, 4.193280e-04, -1.163098e+02
-7.488000000000e-04, 9.998627e-01, 4.216320e-04, -1.102846e+02
-7.464960000000e-04, 9.995573e-01, 4.239360e-04, -1.037061e+02
-7.441920000000e-04, 9.990230e-01, 4.262400e-04, -1.029803e+02
-7.418880000000e-04, 9.983360e-01, 4.285440e-04, -1.039254e+02
-7.395840000000e-04, 9.973437e-01, 4.308480e-04, -1.007641e+02
-7.372800000000e-04, 9.961988e-01, 4.331520e-04, -9.775911e+01
-7.349760000000e-04, 9.948248e-01, 4.354560e-04, -9.926153e+01
-7.326720000000e-04, 9.932218e-01, 4.377600e-04, -1.046808e+02
-7.303680000000e-04, 9.914662e-01, 4.400640e-04, -1.031182e+02
-7.280640000000e-04, 9.894816e-01, 4.423680e-04, -9.846018e+01
-7.257600000000e-04, 9.872680e-01, 4.446720e-04, -9.864060e+01
-7.234560000000e-04, 9.849017e-01, 4.469760e-04, -1.029932e+02
-7.211520000000e-04, 9.823065e-01, 4.492800e-04, -1.032178e+02
-7.188480000000e-04, 9.794822e-01, 4.515840e-04, -9.859862e+01
-7.165440000000e-04, 9.765053e-01, 4.538880e-04, -9.739653e+01
-7.142400000000e-04, 9.732231e-01, 4.561920e-04, -9.706210e+01
-7.119360000000e-04, 9.697882e-01, 4.584960e-04, -9.694920e+01
-7.096320000000e-04, 9.662006e-01, 4.608000e-04, -9.727190e+01
-7.073280000000e-04, 9.623840e-01, 4.631040e-04, -9.695122e+01
-7.050240000000e-04, 9.583385e-01, 4.654080e-04, -9.515569e+01
-7.027200000000e-04, 9.541403e-01, 4.677120e-04, -9.466909e+01
-7.004160000000e-04, 9.496367e-01, 4.700160e-04, -9.553366e+01
-6.981120000000e-04, 9.449805e-01, 4.723200e-04, -9.656201e+01
-6.958080000000e-04, 9.401716e-01, 4.746240e-04, -9.808306e+01
-6.935040000000e-04, 9.351338e-01, 4.769280e-04, -1.009597e+02
-6.912000000000e-04, 9.300196e-01, 4.792320e-04, -1.016530e+02
-6.888960000000e-04, 9.246001e-01, 4.815360e-04, -1.026109e+02
-6.865920000000e-04, 9.188752e-01, 4.838400e-04, -1.077544e+02
-6.842880000000e-04, 9.131504e-01, 4.861440e-04, -1.150935e+02
-6.819840000000e-04, 9.071202e-01, 4.884480e-04, -1.100412e+02
-6.796800000000e-04, 9.009374e-01, 4.907520e-04, -1.017766e+02
-6.773760000000e-04, 8.945256e-01, 4.930560e-04, -9.815315e+01
-6.750720000000e-04, 8.880374e-01, 4.953600e-04, -9.646189e+01
-6.727680000000e-04, 8.812439e-01, 4.976640e-04, -9.599042e+01
-6.704640000000e-04, 8.742978e-01, 4.999680e-04, -9.855602e+01
-6.681600000000e-04, 8.671990e-01, 5.022720e-04, -1.032969e+02
-6.658560000000e-04, 8.599475e-01, 5.045760e-04, -1.036175e+02
-6.635520000000e-04, 8.523907e-01, 5.068800e-04, -1.019652e+02
-6.612480000000e-04, 8.447576e-01, 5.091840e-04, -1.033365e+02
-6.589440000000e-04, 8.368955e-01, 5.114880e-04, -1.094800e+02
-6.566400000000e-04, 8.288807e-01, 5.137920e-04, -1.125630e+02
-6.543360000000e-04, 8.207133e-01, 5.160960e-04, -1.082126e+02
-6.520320000000e-04, 8.123932e-01, 5.184000e-04, -1.108075e+02
-6.497280000000e-04, 8.038441e-01, 5.207040e-04, -1.099307e+02
-6.474240000000e-04, 7.951423e-01, 5.230080e-04, -1.037391e+02
-6.451200000000e-04, 7.862879e-01, 5.253120e-04, -1.008324e+02
-6.428160000000e-04, 7.772808e-01, 5.276160e-04, -9.876637e+01
-6.405120000000e-04, 7.680447e-01, 5.299200e-04, -9.840907e+01
-6.382080000000e-04, 7.587323e-01, 5.322240e-04, -1.016644e+02
-6.359040000000e-04, 7.491909e-01, 5.345280e-04, -1.063785e+02
