% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.754 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:48:05 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-1.160000000000e-03, -6.351521e-01, 2.171520e-04, -7.712632e+01
-1.157216000000e-03, -6.240077e-01, 2.199360e-04, -6.689706e+01
-1.154432000000e-03, -6.128634e-01, 2.227200e-04, -7.963137e+01
-1.151648000000e-03, -6.017190e-01, 2.255040e-04, -6.850686e+01
-1.148864000000e-03, -5.905746e-01, 2.282880e-04, -6.362798e+01
-1.146080000000e-03, -5.794303e-01, 2.310720e-04, -4.889280e+01
-1.143296000000e-03, -5.682859e-01, 2.338560e-04, -4.227201e+01
-1.140512000000e-03, -5.571416e-01, 2.366400e-04, -3.931456e+01
-1.137728000000e-03, -5.460735e-01, 2.394240e-04, -3.924469e+01
-1.134944000000e-03, -5.350055e-01, 2.422080e-04, -4.205661e+01
-1.132160000000e-03, -5.238612e-01, 2.449920e-04, -4.848347e+01
-1.129376000000e-03, -5.127168e-01, 2.477760e-04, -6.238418e+01
-1.126592000000e-03, -5.015724e-01, 2.505600e-04, -6.959557e+01
-1.123808000000e-03, -4.904281e-01, 2.533440e-04, -7.693499e+01
-1.121024000000e-03, -4.792837e-01, 2.561280e-04, -7.104696e+01
-1.118240000000e-03, -4.681394e-01, 2.589120e-04, -9.179933e+01
-1.115456000000e-03, -4.569950e-01, 2.616960e-04, -5.535165e+01
-1.112672000000e-03, -4.458507e-01, 2.644800e-04, -4.657439e+01
-1.109888000000e-03, -4.347063e-01, 2.672640e-04, -4.231421e+01
-1.107104000000e-03, -4.235619e-01, 2.700480e-04, -4.111616e+01
-1.104320000000e-03, -4.124176e-01, 2.728320e-04, -4.272425e+01
-1.101536000000e-03, -4.012732e-01, 2.756160e-04, -4.751380e+01
-1.098752000000e-03, -3.901289e-01, 2.784000e-04, -5.732415e+01
-1.095968000000e-03, -3.789845e-01, 2.811840e-04, -8.115908e+01
-1.093184000000e-03, -3.678401e-01, 2.839680e-04, -7.200238e+01
-1.090400000000e-03, -3.567721e-01, 2.867520e-04, -7.821955e+01
-1.087616000000e-03, -3.457041e-01, 2.895360e-04, -7.474097e+01
-1.084832000000e-03, -3.345597e-01, 2.923200e-04, -6.328409e+01
-1.082048000000e-03, -3.234154e-01, 2.951040e-04, -5.130596e+01
-1.079264000000e-03, -3.122710e-01, 2.978880e-04, -4.554480e+01
-1.076480000000e-03, -3.011267e-01, 3.006720e-04, -4.316102e+01
-1.073696000000e-03, -2.899823e-01, 3.034560e-04, -4.359118e+01
-1.070912000000e-03, -2.788379e-01, 3.062400e-04, -4.694714e+01
-1.068128000000e-03, -2.676936e-01, 3.090240e-04, -5.418856e+01
-1.065344000000e-03, -2.565492e-01, 3.118080e-04, -7.100967e+01
-1.062560000000e-03, -2.454049e-01, 3.145920e-04, -7.393759e+01
-1.059776000000e-03, -2.342605e-01, 3.173760e-04, -9.452712e+01
-1.056992000000e-03, -2.231162e-01, 3.201600e-04, -7.273412e+01
-1.054208000000e-03, -2.119718e-01, 3.229440e-04, -7.604829e+01
-1.051424000000e-03, -2.008274e-01, 3.257280e-04, -5.686294e+01
-1.048640000000e-03, -1.896831e-01, 3.285120e-04, -4.918866e+01
-1.045856000000e-03, -1.785387e-01, 3.312960e-04, -4.555795e+01
-1.043072000000e-03, -1.673944e-01, 3.340800e-04, -4.489113e+01
-1.040288000000e-03, -1.563263e-01, 3.368640e-04, -4.706428e+01
-1.037504000000e-03, -1.451820e-01, 3.396480e-04, -5.261066e+01
-1.034720000000e-03, -1.340376e-01, 3.424320e-04, -6.405160e+01
-1.031936000000e-03, -1.228933e-01, 3.452160e-04, -7.856310e+01
-1.029152000000e-03, -1.118252e-01, 3.480000e-04, -7.957737e+01
-1.026368000000e-03, -1.006809e-01, 3.507840e-04, -7.777986e+01
-1.023584000000e-03, -8.953652e-02, 3.535680e-04, -8.160390e+01
-1.020800000000e-03, -7.839216e-02, 3.563520e-04, -6.350185e+01
-1.018016000000e-03, -6.724780e-02, 3.591360e-04, -5.322636e+01
-1.015232000000e-03, -5.610345e-02, 3.619200e-04, -4.821078e+01
-1.012448000000e-03, -4.495909e-02, 3.647040e-04, -4.642185e+01
-1.009664000000e-03, -3.381473e-02, 3.674880e-04, -4.745642e+01
-1.006880000000e-03, -2.267037e-02, 3.702720e-04, -5.155128e+01
-1.004096000000e-03, -1.152601e-02, 3.730560e-04, -6.006945e+01
-1.001312000000e-03, -3.816561e-04, 3.758400e-04, -8.644252e+01
-9.985280000000e-04, 1.076270e-02, 3.786240e-04, -7.615602e+01
-9.957440000000e-04, 2.190706e-02, 3.814080e-04, -8.981999e+01
-9.929600000000e-04, 3.305142e-02, 3.841920e-04, -7.679362e+01
-9.901760000000e-04, 4.419578e-02, 3.869760e-04, -7.313888e+01
-9.873920000000e-04, 5.534013e-02, 3.897600e-04, -5.797119e+01
-9.846080000000e-04, 6.640816e-02, 3.925440e-04, -5.126226e+01
-9.818240000000e-04, 7.755252e-02, 3.953280e-04, -4.825852e+01
-9.790400000000e-04, 8.869688e-02, 3.981120e-04, -4.814087e+01
-9.762560000000e-04, 9.984124e-02, 4.008960e-04, -5.089005e+01
-9.734720000000e-04, 1.109093e-01, 4.036800e-04, -5.722683e+01
-9.706880000000e-04, 1.220536e-01, 4.064640e-04, -7.089489e+01
-9.679040000000e-04, 1.331980e-01, 4.092480e-04, -7.866564e+01
-9.651200000000e-04, 1.443423e-01, 4.120320e-04, -8.695291e+01
-9.623360000000e-04, 1.554867e-01, 4.148160e-04, -7.883297e+01
-9.595520000000e-04, 1.666311e-01, 4.176000e-04, -9.378074e+01
-9.567680000000e-04, 1.777754e-01, 4.203840e-04, -6.370181e+01
-9.539840000000e-04, 1.889198e-01, 4.231680e-04, -5.479686e+01
-9.512000000000e-04, 2.000641e-01, 4.259520e-04, -5.047106e+01
-9.484160000000e-04, 2.112085e-01, 4.287360e-04, -4.921816e+01
-9.456320000000e-04, 2.223528e-01, 4.315200e-04, -5.077104e+01
-9.428480000000e-04, 2.334972e-01, 4.343040e-04, -5.549245e+01
-9.400640000000e-04, 2.446416e-01, 4.370880e-04, -6.514673e+01
-9.372800000000e-04, 2.557859e-01, 4.398720e-04, -9.197665e+01
-9.344960000000e-04, 2.669303e-01, 4.426560e-04, -8.111521e+01
-9.317120000000e-04, 2.780746e-01, 4.454400e-04, -8.502859e+01
-9.289280000000e-04, 2.891427e-01, 4.482240e-04, -8.133049e+01
-9.261440000000e-04, 3.002107e-01, 4.510080e-04, -7.119101e+01
-9.233600000000e-04, 3.113550e-01, 4.537920e-04, -5.891331e+01
-9.205760000000e-04, 3.224994e-01, 4.565760e-04, -5.306703e+01
-9.177920000000e-04, 3.336438e-01, 4.593600e-04, -5.064328e+01
-9.150080000000e-04, 3.447881e-01, 4.621440e-04, -5.105831e+01
-9.122240000000e-04, 3.559325e-01, 4.649280e-04, -5.441295e+01
-9.094400000000e-04, 3.670768e-01, 4.677120e-04, -6.165803e+01
-9.066560000000e-04, 3.782212e-01, 4.704960e-04, -7.864994e+01
-9.038720000000e-04, 3.893656e-01, 4.732800e-04, -8.062885e+01
-9.010880000000e-04, 4.005099e-01, 4.760640e-04, -9.513983e+01
-8.983040000000e-04, 4.116543e-01, 4.788480e-04, -8.089482e+01
-8.955200000000e-04, 4.227986e-01, 4.816320e-04, -8.395069e+01
-8.927360000000e-04, 4.339430e-01, 4.844160e-04, -6.381597e+01
-8.899520000000e-04, 4.450873e-01, 4.872000e-04, -5.607262e+01
-8.871680000000e-04, 4.562317e-01, 4.899840e-04, -5.239761e+01
-8.843840000000e-04, 4.673761e-01, 4.927680e-04, -5.169428e+01
-8.816000000000e-04, 4.785204e-01, 4.955520e-04, -5.381542e+01
-8.788160000000e-04, 4.895121e-01, 4.983360e-04, -5.925912e+01
-8.760320000000e-04, 5.006565e-01, 5.011200e-04, -7.041708e+01
-8.732480000000e-04, 5.118008e-01, 5.039040e-04, -8.597840e+01
-8.704640000000e-04, 5.229452e-01, 5.066880e-04, -8.585499e+01
-8.676800000000e-04, 5.340895e-01, 5.094720e-04, -8.437504e+01
-8.648960000000e-04, 5.452339e-01, 5.122560e-04, -8.750250e+01
-8.621120000000e-04, 5.563783e-01, 5.150400e-04, -7.013381e+01
-8.593280000000e-04, 5.675226e-01, 5.178240e-04, -5.969963e+01
-8.565440000000e-04, 5.786670e-01, 5.206080e-04, -5.462323e+01
-8.537600000000e-04, 5.898113e-01, 5.233920e-04, -5.277996e+01
-8.509760000000e-04, 6.009557e-01, 5.261760e-04, -5.374209e+01
-8.481920000000e-04, 6.121001e-01, 5.289600e-04, -5.772190e+01
-8.454080000000e-04, 6.232444e-01, 5.317440e-04, -6.598228e+01
-8.426240000000e-04, 6.343888e-01, 5.345280e-04, -8.979842e+01
-8.398400000000e-04, 6.455331e-01, 5.373120e-04, -8.320957e+01
-8.370560000000e-04, 6.566775e-01, 5.400960e-04, -9.596978e+01
-8.342720000000e-04, 6.678218e-01, 5.428800e-04, -8.347993e+01
-8.314880000000e-04, 6.788899e-01, 5.456640e-04, -7.889865e+01
-8.287040000000e-04, 6.900342e-01, 5.484480e-04, -6.397397e+01
-8.259200000000e-04, 7.011023e-01, 5.512320e-04, -5.725679e+01
-8.231360000000e-04, 7.122466e-01, 5.540160e-04, -5.421643e+01
-8.203520000000e-04, 7.233910e-01, 5.568000e-04, -5.405432e+01
-8.175680000000e-04, 7.345353e-01, 5.595840e-04, -5.674983e+01
-8.147840000000e-04, 7.456797e-01, 5.623680e-04, -6.299380e+01
-8.120000000000e-04, 7.568240e-01, 5.651520e-04, -7.624630e+01
-8.092160000000e-04, 7.679684e-01, 5.679360e-04, -8.545883e+01
-8.064320000000e-04, 7.791128e-01, 5.707200e-04, -9.372397e+01
-8.036480000000e-04, 7.902571e-01, 5.735040e-04, -8.438927e+01
-8.008640000000e-04, 8.014015e-01, 5.762880e-04, -9.882958e+01
-7.980800000000e-04, 8.125458e-01, 5.790720e-04, -6.944023e+01
-7.952960000000e-04, 8.236902e-01, 5.818560e-04, -6.044677e+01
-7.925120000000e-04, 8.348346e-01, 5.846400e-04, -5.606117e+01
-7.897280000000e-04, 8.459789e-01, 5.874240e-04, -5.475806e+01
-7.869440000000e-04, 8.571233e-01, 5.902080e-04, -5.625752e+01
-7.841600000000e-04, 8.682676e-01, 5.929920e-04, -6.089163e+01
-7.813760000000e-04, 8.793357e-01, 5.957760e-04, -7.028034e+01
-7.785920000000e-04, 8.904800e-01, 5.985600e-04, -1.075848e+02
-7.758080000000e-04, 9.016244e-01, 6.013440e-04, -8.669549e+01
-7.730240000000e-04, 9.127687e-01, 6.041280e-04, -9.297303e+01
-7.702400000000e-04, 9.239131e-01, 6.069120e-04, -9.096370e+01
-7.674560000000e-04, 9.349811e-01, 6.096960e-04, -7.528088e+01
